link,headline,category,news_text,category_merged,_sim,_equal
https://www.huffingtonpost.com/entry/who-gets-radicalized-what-i-learned-from-my-interviews_us_5765fddce4b0ed0729a1c5c3,Who Gets Radicalized? What I Learned From My Interviews With Extremist Disciples,THE WORLDPOST,Who gets radicalized? What I learned from my interviews with extremist disciples @huffpostblog,WORLD NEWS/GLOBAL,0.8160919540229885,False
https://www.huffingtonpost.com/entry/why-do-99-of-americans-ne_b_9119878.html,Why Do 99% Of Americans Need Bernie To Win?,COMEDY,Why do 99% of Americans need Bernie to win?,ENTERTAINMENT,0.8837209302325582,False
https://www.huffingtonpost.com/entry/gabrielle-union-and-dwyane-wade-have-too-many-sweet-snaps-to-count_us_566ca5c2e4b0fccee16ed82c,Gabrielle Union And Dwyane Wade Have Too Many Sweet Snaps To Count,ENTERTAINMENT,Gabrielle Union and Dwyane Wade Have Too Many Sweet Snaps to Count,ENTERTAINMENT,0.9696969696969697,False
https://www.huffingtonpost.com/entry/23-tv-couples-who-became-real-couples_us_562c0011e4b0aac0b8fd22de,23 TV Couples Who Became Real Couples,ENTERTAINMENT,23 TV couples who became real couples.,ENTERTAINMENT,0.8533333333333334,False
https://www.huffingtonpost.com/entry/justin-timberlake-jessica-biel_us_562bfdb6e4b0443bb5643142,Justin Timberlake And Jessica Biel Take A Stunning Night Out,ENTERTAINMENT,Justin Timberlake and Jessica Biel take a stunning night out.,ENTERTAINMENT,0.8925619834710744,False
https://www.huffingtonpost.com/entry/how-the-kardashian-jenners-really-made-their-millions_us_562c01d1e4b0ec0a3894b3d0,How The Kardashian-Jenners Really Made Their Millions,ENTERTAINMENT,How the Kardashian-Jenners really made their millions.,ENTERTAINMENT,0.897196261682243,False
https://www.huffingtonpost.com/entry/ellen-degeneres-halloween_us_5622c861e4b02f6a900c9e73,A Brief History of Ellen DeGeneres's Amazing Halloween Costumes,ENTERTAINMENT,A brief history of Ellen DeGeneres's  amazing halloween costumes.,ENTERTAINMENT,0.90625,False
https://www.huffingtonpost.com/entry/jessica-chastain-bryce-dallas-howard_us_5622c598e4b08589ef47b70d,Jessica Chastain Has Pretended To Be Bryce Dallas Howard,ENTERTAINMENT,Jessica Chastain has pretended to be Bryce Dallas Howard.,ENTERTAINMENT,0.9203539823008849,False
https://www.huffingtonpost.com/entry/chris-hemsworth-adorable-baby_us_5622c774e4b0bce34700fcce,Chris Hemsworth Has A Very Adorable Baby,ENTERTAINMENT,Chris Hemsworth has a very adorable baby.,ENTERTAINMENT,0.8641975308641975,False
https://www.huffingtonpost.com/entry/lena-dunham-instagram_us_560714a9e4b0af3706dc8d7b,18 Times Lena Dunham's Instagram Was Extremely Relatable,ENTERTAINMENT,18 Times Lena Dunham's Instagram Was Extremely Relatable,ENTERTAINMENT,0.9821428571428571,False
https://www.huffingtonpost.com/entry/gwyneth-paltrow-tshirt_us_56071645e4b0af3706dc8e4e,Gwyneth Paltrow Would Like You To Buy This $350 T-Shirt,ENTERTAINMENT,Gwyneth Paltrow would like you to buy this $350 T-shirt.,ENTERTAINMENT,0.8648648648648649,False
https://www.huffingtonpost.com/entry/kaley-cuoco-horse_us_56070b76e4b0af3706dc8991,Kaley Cuoco Hangs With A Horse After Divorce Announcement,ENTERTAINMENT,Kaley Cuoco Hangs With A Horse After Divorce Announcement.,ENTERTAINMENT,0.991304347826087,False
